Subgrupo7_Desc,Subgrupo5_Desc,Subgrupo4_Desc,Subgrupo3_Desc,Grupo_Desc
V09AB03,V09AB - Compuestos con Iodo (123I)                ,V09A - SISTEMA NERVIOSO CENTRAL                   ,V09 - PRODUCTOS RADIOFARMACÉUTICOS PARA DIAGNÓSTIC,V - VARIOS                                        
J01DD13,J01DD - Cefalosporinas de tercera generación      ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
N04BC02,N04BC - Agonistas dopaminérgicos                  ,N04B - AGENTES DOPAMINÉRGICOS                     ,N04 - ANTIPARKINSONIANOS                          ,N - SISTEMA NERVIOSO                              
B02BD96,B02BD - Factores de la coagulación sanguínea      ,B02B - VITAMINA K Y OTROS HEMOSTÁTICOS            ,B02 - ANTIHEMORRÁGICOS                            ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
N05CM01,N05CM - Otros hipnóticos y sedantes               ,N05C - HIPNÓTICOS Y SEDANTES                      ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
B01AC05,"B01AC - Inhibidores de la agregación plaquetaria, ",B01A - AGENTES ANTITROMBÓTICOS                    ,B01 - AGENTES ANTITROMBÓTICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
R05CZ93,R05CZ - Expectorantes y/o mucolíticos con antiinfe,"R05C - EXPECTORANTES, EXCLUYENDO COMBINACIONES CON",R05 - PREPARADOS PARA LA TOS Y EL RESFRIADO       ,R - SISTEMA RESPIRATORIO                          
G03XA02,G03XA - Antigonadotrofinas y agentes similares    ,G03X - OTRAS HORMONAS SEXUALES Y MODULADORES DEL S,G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
D08AJ,D08AJ - Compuestos de amonio cuaternario          ,D08A - ANTISÉPTICOS Y DESINFECTANTES              ,D08 - ANTISÉPTICOS Y DESINFECTANTES               ,D - DERMATOLOGICOS                                
C05AA91,C05AA - Productos que contienen corticosteroides  ,C05A - ANTIHEMORROIDALES DE USO TÓPICO            ,C05 - VASOPROTECTORES                             ,C - SISTEMA CARDIOVASCULAR                        
J07A,J07A - VACUNAS ANTIBACTERIANAS                    ,J07A - VACUNAS ANTIBACTERIANAS                    ,J07 - VACUNAS                                     ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C09DA03,C09DA - Antagonistas de angiotensina II  y diuréti,"C09D - ANTAGONISTAS DE ANGIOTENSINA II, COMBINACIO",C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-A,C - SISTEMA CARDIOVASCULAR                        
J06BB05,J06BB - Inmunoglobulinas específicas              ,J06B - INMUNOGLOBULINAS                           ,J06 - SUEROS INMUNES E INMUNOGLOBULINAS           ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
V04CJ02,V04CJ - Pruebas de función tiroidea               ,V04C - OTROS AGENTES DIAGNÓSTICOS                 ,V04 - AGENTES DIAGNÓSTICOS                        ,V - VARIOS                                        
J06A,J06A - SUEROS INMUNES                             ,J06A - SUEROS INMUNES                             ,J06 - SUEROS INMUNES E INMUNOGLOBULINAS           ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
D03BA52,D03BA - Enzimas proteolíticas                     ,D03B - ENZIMAS                                    ,D03 - PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ,D - DERMATOLOGICOS                                
J01MA03,J01MA - Fluoroquinolonas                          ,J01M - QUINOLONAS ANTIBACTERIANAS                 ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C07EA91,C07EA - Agentes beta bloqueantes no selectivos y v,C07E - AGENTES BETA-BLOQUEANTES Y VASODILATADORES ,C07 - AGENTES BETA-BLOQUEANTES                    ,C - SISTEMA CARDIOVASCULAR                        
R03AK04,R03AK - Adrenérgicos y otros agentes contra padeci,"R03A - ADRENÉRGICOS, INHALATORIOS                 ",R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE,R - SISTEMA RESPIRATORIO                          
M03AC11,M03AC - Otros compuestos de amonio cuaternario    ,M03A - AGENTES RELAJANTES MUSCULARES  DE ACCIÓN PE,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
B03BA01,B03BA - Vitamina B12 (cianocobalamina y análogos) ,B03B - VITAMINA B12 Y ÁCIDO FÓLICO                ,B03 - PREPARADOS ANTIANÉMICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
A02BA06,A02BA - Antagonistas del receptor H2              ,A02B - AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLU,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES ,A - TRACTO ALIMENTARIO Y METABOLISMO              
H02AB01,H02AB - Glucocorticoides                          ,"H02A - CORTICOSTEROIDES PARA USO SISTÉMICO, MONOFÁ",H02 - CORTICOSTEROIDES PARA USO SISTÉMICO         ,"H - PREPARADOS HORMONALES SISTÉMICOS, EXCLUYENDO H"
B05ZA,B05ZA - Concentrados para hemodiálisis            ,B05Z - SOLUCIONES PARA HEMODIÁLISIS Y HEMOFILTRACI,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
G03C,G03C - ESTRÓGÉNOS                                 ,G03C - ESTRÓGÉNOS                                 ,G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
N06CB,N06CB - Psicoestimulantes en combinación con psico,N06C - PSICOLÉPTICOS Y PSICOANALÉPTICOS EN COMBINA,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
N07AA01,N07AA - Inhibidores de la acetilcolinesterasa     ,N07A - PARASIMPATICOMIMÉTICOS                     ,N07 - OTROS FÁRMACOS QUE ACTÚAN SOBRE EL SISTEMA N,N - SISTEMA NERVIOSO                              
R01BA53,R01BA - Simpaticomiméticos                        ,R01B - DESCONGESTIVOS NASALES PARA USO SISTÉMICO  ,R01 - PREPARADOS DE USO NASAL                     ,R - SISTEMA RESPIRATORIO                          
G01AF20,G01AF - Derivados imidazólicos                    ,G01A - ANTIINFECCIOSOS Y ANTISÉPTICOS EXCLUYENDO C,G01 - ANTIINFECCIOSOS Y ANTISÉPTICOS GINECOLÓGICOS,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
G04BD07,G04BD - Antiespasmódicos urinarios                ,"G04B - OTROS PRODUCTOS DE USO UROLÓGICO, INCLUYEND",G04 - PRODUCTOS DE USO UROLÓGICO                  ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
J05AB11,"J05AB - Nucleósidos y nucleótidos, excluyendo inhi",J05A - ANTIVIRALES DE ACCIÓN DIRECTA              ,J05 - ANTIVIRALES DE USO SISTÉMICO                ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
A06AB02,A06AB - Laxantes de contacto                      ,A06A - LAXANTES                                   ,A06 - LAXANTES                                    ,A - TRACTO ALIMENTARIO Y METABOLISMO              
A10BA03,A10BA - Biguanidas                                ,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
A05AX91,A05AX - Otros fármacos para terapia biliar        ,A05A - TERAPIA BILIAR                             ,A05 - TERAPIA BILIAR Y HEPÁTICA                   ,A - TRACTO ALIMENTARIO Y METABOLISMO              
M01AX22,M01AX - Otros agentes antiinflamatorios y antirreu,M01A - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTIC,M01 - PRODUCTOS ANTIINFLAMATORIOS  Y ANTIRREUMÁTIC,M - SISTEMA MUSCULOESQUELÉTICO                    
25C08,25C08 - BOLSAS UROST SIST DOBLE PLACA C-ESP       ,25C0 - BOLSAS UROSTOMIA ADH                       ,25C - BOLSAS UROSTOMÍA                            ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
B02BD03,B02BD - Factores de la coagulación sanguínea      ,B02B - VITAMINA K Y OTROS HEMOSTÁTICOS            ,B02 - ANTIHEMORRÁGICOS                            ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
D06BB02,D06BB - Antivirales                               ,D06B - QUIMIOTERÁPICOS PARA USO TÓPICO            ,D06 - ANTIBIÓTICOS Y QUIMIOTERÁPICOS PARA USO DERM,D - DERMATOLOGICOS                                
D07A,"D07A - CORTICOSTEROIDES, MONOFÁRMACOS             ","D07A - CORTICOSTEROIDES, MONOFÁRMACOS             ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
L01DC03,L01DC - Otros antibióticos citotóxicos            ,L01D - ANTIBIÓTICOS CITOTÓXICOS Y SUSTANCIAS RELAC,L01 - AGENTES ANTINEOPLÁSICOS                     ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
C03CA04,"C03CA - Sulfonamidas, monofármacos                ",C03C - DIURÉTICOS DE TECHO ALTO                   ,C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
N02BA11,N02BA - Ácido salicílico y derivados              ,N02B - OTROS ANALGÉSICOS Y ANTIPIRÉTICOS          ,N02 - ANALGÉSICOS                                 ,N - SISTEMA NERVIOSO                              
C10AA06,C10AA - Inhibidores de la HMG CoA reductasa       ,"C10A - AGENTES MODIFICADORES DE LOS LÍPIDOS,MONOFA",C10 - AGENTES MODIFICADORES DE LOS LÍPIDOS        ,C - SISTEMA CARDIOVASCULAR                        
N05BA51,N05BA - Derivados de la benzodiazepina            ,N05B - ANSIOLÍTICOS                               ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
J01DH51,J01DH - Derivados del carbapenem                  ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
C01CA01,C01CA - Agentes adrenérgicos y dopaminérgicos     ,C01C - ESTIMULANTES CARDÍACOS EXCLUYENDO GLUCÓSIDO,C01 - TERAPIA CARDÍACA                            ,C - SISTEMA CARDIOVASCULAR                        
D07AC15,D07AC - Corticosteroides  potentes (grupo III)    ,"D07A - CORTICOSTEROIDES, MONOFÁRMACOS             ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
A03DB92,A03DB - Belladona y derivados en combinación con a,A03D - ANTIESPASMÓDICOS EN COMBINACIÓN CON ANALGÉS,A03 - AGENTES CONTRA PADECIMIENTOS FUNCIONALES DEL,A - TRACTO ALIMENTARIO Y METABOLISMO              
A11DB91,A11DB - Vitamina B1 en combinación con vitamina B6,"A11D - VITAMINA B1, SOLA  Y EN COMBINACIÓN CON VIT",A11 - VITAMINAS                                   ,A - TRACTO ALIMENTARIO Y METABOLISMO              
A04AA02,A04AA - Antagonistas de receptores de serotonina (,A04A - ANTIEMÉTICOS Y ANTINAUSEOSOS               ,A04 - ANTIEMÉTICOS Y ANTINAUSEOSOS                ,A - TRACTO ALIMENTARIO Y METABOLISMO              
L01DB03,L01DB - Antraciclinas y sustancias relacionadas   ,L01D - ANTIBIÓTICOS CITOTÓXICOS Y SUSTANCIAS RELAC,L01 - AGENTES ANTINEOPLÁSICOS                     ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
D07AC01,D07AC - Corticosteroides  potentes (grupo III)    ,"D07A - CORTICOSTEROIDES, MONOFÁRMACOS             ",D07 - PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROID,D - DERMATOLOGICOS                                
G03CA57,"G03CA - Estrógenos naturales y semisintéticos, mon",G03C - ESTRÓGÉNOS                                 ,G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
A10AD04,A10AD - Combinaciones de insulinas y análogos de a,A10A - INSULINAS Y ANÁLOGOS                       ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
J01K1,J01K1 - ANTIBIOTICOS ASOCIADOS ENTRE SI           ,J01K - ANTIBIOTICOS EN ASOCIACION                 ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
B03BA04,B03BA - Vitamina B12 (cianocobalamina y análogos) ,B03B - VITAMINA B12 Y ÁCIDO FÓLICO                ,B03 - PREPARADOS ANTIANÉMICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
J01DH02,J01DH - Derivados del carbapenem                  ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
M01AX02,M01AX - Otros agentes antiinflamatorios y antirreu,M01A - PRODUCTOS ANTIINFLAMATORIOS Y ANTIRREUMÁTIC,M01 - PRODUCTOS ANTIINFLAMATORIOS  Y ANTIRREUMÁTIC,M - SISTEMA MUSCULOESQUELÉTICO                    
C03EA01,C03EA - Diuréticos de techo bajo y agentes ahorrad,C03E - DIURÉTICOS Y AGENTES AHORRADORES DE  POTASI,C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
S01GX07,S01GX - Otros antialérgicos                       ,S01G - DESCONGESTIVOS Y ANTIALÉRGICOS             ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
22A00,22A00 - INHALADOR                                 ,22A0 - INHALADORES                                ,22A - INHALADORES                                 ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
M02AX10,M02AX - Otros productos tópicos para el dolor arti,M02A - PRODUCTOS TÓPICOS PARA EL DOLOR ARTICULAR Y,M02 - PRODUCTOS TÓPICOS PARA EL DOLOR ARTICULAR Y ,M - SISTEMA MUSCULOESQUELÉTICO                    
J02AB02,J02AB - Derivados imidazólicos                    ,J02A - ANTIMICÓTICOS PARA USO SISTÉMICO           ,J02 - ANTIMICÓTICOS PARA USO SISTÉMICO            ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
N02CC04,N02CC - Agonistas selectivos de serotonina (5-HT1),N02C - PREPARADOS ANTIMIGRAÑOSOS                  ,N02 - ANALGÉSICOS                                 ,N - SISTEMA NERVIOSO                              
A09AC,A09AC - Preparados con enzimas y ácidos en combina,"A09A - DIGESTIVOS, INCLUYENDO ENZIMAS             ","A09 - DIGESTIVOS, INCLUYENDO ENZIMAS              ",A - TRACTO ALIMENTARIO Y METABOLISMO              
B05AA06,B05AA - Sustitutos de la sangre y fracciones prote,B05A - SANGRE Y PRODUCTOS RELACIONADOS            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
25A14,25A14 - BOLSAS COLOST SIST DOBLE PLAC             ,25A1 - BOLSAS COLOSTOMIA                          ,25A - BOLSAS COLOSTOMIA                           ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
S01HA30,S01HA - Anestésicos locales                       ,S01H - ANESTÉSICOS LOCALES                        ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
J07BB02,J07BB - Vacunas contra la gripe                   ,J07B - VACUNAS ANTIVIRALES                        ,J07 - VACUNAS                                     ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
R06AX26,R06AX - Otros antihistamínicos para uso sistémico ,R06A - ANTIHISTAMÍNICOS PARA USO SISTÉMICO        ,R06 - ANTIHISTAMÍNICOS PARA USO SISTÉMICO         ,R - SISTEMA RESPIRATORIO                          
N03AF01,N03AF - Derivados de la carboxamida               ,N03A - ANTIEPILÉPTICOS                            ,N03 - ANTIEPILÉPTICOS                             ,N - SISTEMA NERVIOSO                              
N05BE01,N05BE - Derivados de la azaspirodecanediona       ,N05B - ANSIOLÍTICOS                               ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
B05AA92,B05AA - Sustitutos de la sangre y fracciones prote,B05A - SANGRE Y PRODUCTOS RELACIONADOS            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
R03AC13,R03AC - Agonistas selectivos de receptores beta-2 ,"R03A - ADRENÉRGICOS, INHALATORIOS                 ",R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE,R - SISTEMA RESPIRATORIO                          
N06BX54,N06BX - Otros psicoestimulantes y nootrópicos     ,"N06B - PSICOESTIMULANTES, AGENTES UTILIZADOS PARA ",N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
C01BC03,C01BC - Antiarrítmicos de clase Ic                ,C01B - ANTIARRÍTMICOS DE CLASE I Y III            ,C01 - TERAPIA CARDÍACA                            ,C - SISTEMA CARDIOVASCULAR                        
N03AA02,N03AA - Barbitúricos y derivados                  ,N03A - ANTIEPILÉPTICOS                            ,N03 - ANTIEPILÉPTICOS                             ,N - SISTEMA NERVIOSO                              
L04AA06,L04AA - Agentes inmunosupresores selectivos       ,L04A - AGENTES INMUNOSUPRESORES                   ,L04 - AGENTES INMUNOSUPRESORES                    ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
G03FA17,"G03FA - Progestágenos y estrógenos, combinaciones ",G03F - PROGESTÁGENOS Y ESTRÓGENOS EN COMBINACIÓN  ,G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
26H04,26H04 - OTROS APOSITOS                            ,26H0 - APOSITOS B OSTOM ARO                       ,26H - APOSITOS OSTOMIA                            ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
A11E3,A11E3 - COMPLEJO B Y OTRAS COMBINACIONES          ,"A11E - VITAMINAS DEL COMPLEJO B, INCLUYENDO COMBIN",A11 - VITAMINAS                                   ,A - TRACTO ALIMENTARIO Y METABOLISMO              
C03BA11,"C03BA - Sulfonamidas, monofármacos                ","C03B - DIURÉTICOS DE TECHO BAJO, EXCLUYENDO TIAZID",C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
A11HA02,"A11HA - Otros preparados de  vitaminas, monofármac","A11H - OTROS PREPARADOS DE VITAMINAS, MONOFÁRMACOS",A11 - VITAMINAS                                   ,A - TRACTO ALIMENTARIO Y METABOLISMO              
S01FA04,S01FA - Anticolinérgicos                          ,S01F - MIDRIÁTICOS Y CICLOPLÉJICOS                ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
G04CX92,G04CX - Otros fármacos usados en la hipertrofia pr,G04C - FÁRMACOS USADOS EN LA HIPERTROFIA  PROSTÁTI,G04 - PRODUCTOS DE USO UROLÓGICO                  ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
A11CC05,A11CC - Vitamina D y análogos                     ,"A11C - VITAMINAS A Y D, INCLUYENDO COMBINACIONES D",A11 - VITAMINAS                                   ,A - TRACTO ALIMENTARIO Y METABOLISMO              
N06CA01,N06CA - Antidepresivos en combinación con psicolép,N06C - PSICOLÉPTICOS Y PSICOANALÉPTICOS EN COMBINA,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
D01AA01,D01AA - Antibióticos                              ,D01A - ANTIFÚNGICOS PARA USO TÓPICO               ,D01 - ANTIFÚNGICOS PARA USO DERMATOLÓGICO         ,D - DERMATOLOGICOS                                
B05D,B05D - SOLUCIONES PARA DIÁLISIS PERITONEAL        ,B05D - SOLUCIONES PARA DIÁLISIS PERITONEAL        ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
C01DA52,C01DA - Nitratos orgánicos                        ,C01D - VASODILATADORES USADOS EN ENFERMEDADES CARD,C01 - TERAPIA CARDÍACA                            ,C - SISTEMA CARDIOVASCULAR                        
J01DC03,J01DC - Cefalosporinas de segunda generación      ,J01D - OTROS ANTIBACTERIANOS BETALACTÁMICOS       ,J01 - ANTIBACTERIANOS PARA USO SISTÉMICO          ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
N05AF05,N05AF - Derivados del tioxanteno                  ,N05A - ANTIPSICÓTICOS                             ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
19A02,19A02 - BRAGUERO INGUINAL DERECHO                 ,19A0 - BRAGUERO INGUINAL                          ,19A - BRAGUERO INGUINAL                           ,1 - ELÁSTICO EXCEPTO MEDIAS                       
A02BA01,A02BA - Antagonistas del receptor H2              ,A02B - AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLU,A02 - AGENTES PARA EL TRATAMIENTO DE ALTERACIONES ,A - TRACTO ALIMENTARIO Y METABOLISMO              
D01AC52,D01AC - Derivados imidazólicos y triazólicos      ,D01A - ANTIFÚNGICOS PARA USO TÓPICO               ,D01 - ANTIFÚNGICOS PARA USO DERMATOLÓGICO         ,D - DERMATOLOGICOS                                
V03AF01,V03AF - Agentes detoxificantes para tratamientos a,V03A - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03 - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS ,V - VARIOS                                        
A07AA51,A07AA - Antibióticos                              ,A07A - ANTIINFECCIOSOS INTESTINALES               ,"A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/AN",A - TRACTO ALIMENTARIO Y METABOLISMO              
B03AC,"B03AC - Hierro trivalente, preparados parenterales",B03A - PREPARADOS CON HIERRO                      ,B03 - PREPARADOS ANTIANÉMICOS                     ,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
P02CC01,P02CC - Derivados de la tetrahidropirimidina      ,P02C - ANTINEMATODOS                              ,P02 - ANTIHELMÍNTICOS                             ,"P - PRODUCTOS ANTIPARASITARIOS, INSECTICIDAS Y REP"
G03DC02,G03DC - Derivados del estreno                     ,G03D - PROGESTÁGENOS                              ,G03 - HORMONAS SEXUALES Y MODULADORES DEL SISTEMA ,G - SISTEMA GENITOURINARIO Y HORMONAS SEXUALES    
A10B,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
C09DA06,C09DA - Antagonistas de angiotensina II  y diuréti,"C09D - ANTAGONISTAS DE ANGIOTENSINA II, COMBINACIO",C09 - AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-A,C - SISTEMA CARDIOVASCULAR                        
S01AX01,S01AX - Otros antiinfecciosos                     ,S01A - ANTIINFECCIOSOS                            ,S01 - OFTALMOLÓGICOS                              ,S - ÓRGANOS DE LOS SENTIDOS                       
C03A,C03A - DIURÉTICOS DE TECHO BAJO: TIAZIDAS         ,C03A - DIURÉTICOS DE TECHO BAJO: TIAZIDAS         ,C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
L01BC53,L01BC - Análogos de las  pirimidinas              ,L01B - ANTIMETABOLITOS                            ,L01 - AGENTES ANTINEOPLÁSICOS                     ,L - AGENTES ANTINEOPLÁSICOS E INMUNOMODULADORES   
B05AA93,B05AA - Sustitutos de la sangre y fracciones prote,B05A - SANGRE Y PRODUCTOS RELACIONADOS            ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
N07BA,N07BA - Fármacos usados en la dependencia a nicoti,N07B - FÁRMACOS USADOS EN DESÓRDENES ADICTIVOS    ,N07 - OTROS FÁRMACOS QUE ACTÚAN SOBRE EL SISTEMA N,N - SISTEMA NERVIOSO                              
J06BA01,J06BA - Inmunoglobulinas humanas normales         ,J06B - INMUNOGLOBULINAS                           ,J06 - SUEROS INMUNES E INMUNOGLOBULINAS           ,J - ANTIINFECCIOSOS PARA USO SISTÉMICO            
V03AX92,V03AX - Otros productos terapéuticos              ,V03A - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03 - TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS ,V - VARIOS                                        
B05DA92,B05DA - Soluciones isotónicas                     ,B05D - SOLUCIONES PARA DIÁLISIS PERITONEAL        ,B05 - SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PE,B - SANGRE Y ÓRGANOS HEMATOPOYÉTICOS              
N06AA07,N06AA - Inhibidores no selectivos de la recaptació,N06A - ANTIDEPRESIVOS                             ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
25B05,25B05 - BOLSAS ILEOST KAR ADH MIC                 ,25B0 - BOLSAS ILEOSTOMÍA                          ,25B - BOLSAS ILEOSTOMÍA                           ,2 - PRODUCTOS DE INCONTINENCIA Y MEDIAS           
R03CC02,R03CC - Agonistas selectivos de receptores beta-2 ,R03C - ADRENÉRGICOS PARA USO SISTÉMICO            ,R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE,R - SISTEMA RESPIRATORIO                          
D02AC,D02AC - Parafina blanda y productos con grasa     ,D02A - EMOLIENTES Y PROTECTORES                   ,D02 - EMOLIENTES Y PROTECTORES                    ,D - DERMATOLOGICOS                                
D05AC01,D05AC - Derivados del antraceno                   ,D05A - ANTIPSORIÁSICOS PARA USO TÓPICO            ,D05 - ANTIPSORIÁSICOS                             ,D - DERMATOLOGICOS                                
N05CM09,N05CM - Otros hipnóticos y sedantes               ,N05C - HIPNÓTICOS Y SEDANTES                      ,N05 - PSICOLÉPTICOS                               ,N - SISTEMA NERVIOSO                              
A10BD03,A10BD - Combinaciones de fármacos hipoglucemiantes,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
C03EA04,C03EA - Diuréticos de techo bajo y agentes ahorrad,C03E - DIURÉTICOS Y AGENTES AHORRADORES DE  POTASI,C03 - DIURÉTICOS                                  ,C - SISTEMA CARDIOVASCULAR                        
M03AB01,M03AB - Derivados de la colina                    ,M03A - AGENTES RELAJANTES MUSCULARES  DE ACCIÓN PE,M03 - RELAJANTES MUSCULARES                       ,M - SISTEMA MUSCULOESQUELÉTICO                    
A07EB01,"A07EB - Agentes antialérgicos, excluyendo corticos",A07E - AGENTES ANTIINFLAMATORIOS INTESTINALES     ,"A07 - ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/AN",A - TRACTO ALIMENTARIO Y METABOLISMO              
V07AY91,V07AY - Otros productos auxiliares no terapéuticos,V07A - TODO EL RESTO DE LOS PRODUCTOS NO TERAPÉUTI,V07 - TODO EL RESTO DE LOS PRODUCTOS NO TERAPÉUTIC,V - VARIOS                                        
A10BB09,A10BB - Derivados de las sulfonilureas            ,A10B - FÁRMACOS HIPOGLUCEMIANTES ORALES           ,A10 - FÁRMACOS USADOS EN DIABETES                 ,A - TRACTO ALIMENTARIO Y METABOLISMO              
N06AX03,N06AX - Otros antidepresivos                      ,N06A - ANTIDEPRESIVOS                             ,N06 - PSICOANALÉPTICOS                            ,N - SISTEMA NERVIOSO                              
