CIE10,literal_CIE10,BDCAP,literal_BDCAP,Cambio mapeo julio 18
J03.9,"Amigdalitis aguda, no especificada",R76,Amigdalitis aguda,
J04,Laringitis y traqueítis agudas,R77,Laringitis/traqueítis aguda,
J04.0,Laringitis aguda,R77,Laringitis/traqueítis aguda,
J04.1,Traqueítis aguda,R77,Laringitis/traqueítis aguda,
J04.2,Laringotraqueítis aguda,R77,Laringitis/traqueítis aguda,
J05,Laringitis obstructiva aguda [crup] y epiglotitis,R83,Otras infecciones respiratorias,
J05.0,"Laringitis obstructiva, aguda [crup]",R77,Laringitis/traqueítis aguda,
J05.1,Epiglotitis aguda,R83,Otras infecciones respiratorias,
J06,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",R74,Infección respiratoria aguda del tracto superior,
J06.0,Laringofaringitis aguda,R74,Infección respiratoria aguda del tracto superior,
J06.8,Otras infecciones agudas de sitios múltiples de las vías respiratorias superiores,R74,Infección respiratoria aguda del tracto superior,
J06.9,"Infección aguda de las vías respiratorias superiores, no especificada",R74,Infección respiratoria aguda del tracto superior,
J09,Influenza debida a virus de la influenza aviar identificado,R80,Gripe,
J10,Influenza debida a virus de la influenza identificado,R80,Gripe,
J10.0,"Influenza con neumonía, debida a virus de la influenza identificado",R81.02,Neumonía viral,
J10.1,"Influenza con otras manifestaciones respiratorias, debida a virus de la influenza identificado",R80,Gripe,
J10.8,"Influenza, con otras manifestaciones, debida a virus de la influenza identificado",R80,Gripe,
J11,Influenza debida a virus no identificado,R80,Gripe,
J11.0,"Influenza con neumonía, virus no identificado",R81.02,Neumonía viral,
J11.1,"Influenza con otras manifestaciones respiratorias, virus no identificado",R80,Gripe,
J11.8,"Influenza con otras manifestaciones, virus no identificado",R80,Gripe,
J12,"Neumonía viral, no clasificada en otra parte",R81.02,Neumonía viral,
J12.0,Neumonía debida a adenovirus,R81.02,Neumonía viral,
J12.1,Neumonía debida a virus sincitial respiratorio,R81.02,Neumonía viral,
J12.2,Neumonía debida a virus parainfluenza,R81.02,Neumonía viral,
J12.8,Neumonía debida a otros virus,R81.02,Neumonía viral,
J12.9,"Neumonía viral, no especificada",R81.02,Neumonía viral,
J13,Neumonía debida a Streptococcus pneumoniae,R81.01,Neumonía bacteriana,
J14,Neumonía debida a Haemophilus influenzae,R81.01,Neumonía bacteriana,
J15,"Neumonía bacteriana, no clasificada en otra parte",R81.01,Neumonía bacteriana,
J15.0,Neumonía debida a Klebsiella pneumoniae,R81.01,Neumonía bacteriana,
J15.1,Neumonía debida a Pseudomonas,R81.01,Neumonía bacteriana,
J15.2,Neumonía debida a estafilococos,R81.01,Neumonía bacteriana,
J15.3,Neumonía debida a estreptococos del grupo B,R81.01,Neumonía bacteriana,
J15.4,Neumonía debida a otros estreptococos,R81.01,Neumonía bacteriana,
J15.5,Neumonía debida a Escherichia coli,R81.01,Neumonía bacteriana,
J15.6,Neumonía debida a otras bacterias aeróbicas gramnegativas,R81.01,Neumonía bacteriana,
J15.7,Neumonía debida a Mycoplasma pneumoniae,R81.01,Neumonía bacteriana,
J15.8,Otras neumonías bacterianas,R81.01,Neumonía bacteriana,
J15.9,"Neumonía bacteriana, no especificada",R81.01,Neumonía bacteriana,
J16,"Neumonía debida a otros microorganismos infecciosos, no clasificados en otra parte",R81,Neumonía,
J16.0,Neumonía debida a clamidias,R81.01,Neumonía bacteriana,
J16.8,Neumonía debida a otros microorganismos infecciosos especificados,R81,Neumonía,
J17,Neumonía en enfermedades clasificadas en otra parte,R81,Neumonía,
J17.0,Neumonía en enfermedades bacterianas clasificadas en otra parte,R81.01,Neumonía bacteriana,
J17.1,Neumonía en enfermedades virales clasificadas en otra parte,R81.02,Neumonía viral,
J17.2,Neumonía en micosis,R81,Neumonía,
J17.3,Neumonía en enfermedades parasitarias,R81,Neumonía,
J17.8,Neumonía en otras enfermedades clasificadas en otra parte,R81,Neumonía,
J18,"Neumonía, organismo no especificado",R81,Neumonía,
J18.0,"Bronconeumonía, no especificada",R81,Neumonía,
J18.1,"Neumonía lobar, no especificada",R81,Neumonía,
J18.2,"Neumonía hipostática, no especificada",R81,Neumonía,
J18.8,"Otras neumonías, de microorganismo no especificado",R81,Neumonía,
J18.9,"Neumonía, no especificada",R81,Neumonía,
J20,Bronquitis aguda,R78,Bronquitis/bronquiolitis aguda,
J20.0,Bronquitis aguda debida a Mycoplasma pneumoniae,R78,Bronquitis/bronquiolitis aguda,
J20.1,Bronquitis aguda debida a Haemophilus influenzae,R78,Bronquitis/bronquiolitis aguda,
J20.2,Bronquitis aguda debida a estreptococos,R78,Bronquitis/bronquiolitis aguda,
J20.3,Bronquitis aguda debida a virus Coxsackie,R78,Bronquitis/bronquiolitis aguda,
J20.4,Bronquitis aguda debida a virus parainfluenza,R78,Bronquitis/bronquiolitis aguda,
J20.5,Bronquitis aguda debida a virus sincitial respiratorio,R78,Bronquitis/bronquiolitis aguda,
J20.6,Bronquitis aguda debida a rinovirus,R78,Bronquitis/bronquiolitis aguda,
J20.7,Bronquitis aguda debida a virus ECHO,R78,Bronquitis/bronquiolitis aguda,
J20.8,Bronquitis aguda debida a otros microorganismos especificados,R78,Bronquitis/bronquiolitis aguda,
J20.9,"Bronquitis aguda, no especificada",R78,Bronquitis/bronquiolitis aguda,
J21,Bronquiolitis aguda,R78,Bronquitis/bronquiolitis aguda,
J21.0,Bronquiolitis aguda debida a virus sincitial respiratorio,R78,Bronquitis/bronquiolitis aguda,
J21.8,Bronquiolitis aguda debida a otros microorganismos especificados,R78,Bronquitis/bronquiolitis aguda,
J21.9,"Bronquiolitis aguda, no especificada",R78,Bronquitis/bronquiolitis aguda,
J22,Infección aguda no especificada de las vías respiratorias inferiores,R78,Bronquitis/bronquiolitis aguda,
J30,Rinitis alérgica y vasomotora,R97,Rinitis alérgica,
J30.0,Rinitis vasomotora,R97,Rinitis alérgica,
J30.1,Rinitis alérgica debida al polen,R97,Rinitis alérgica,
J30.2,Otra rinitis alérgica estacional,R97,Rinitis alérgica,
J30.3,Otras rinitis alérgicas,R97,Rinitis alérgica,
J30.4,"Rinitis alérgica, no especificada",R97,Rinitis alérgica,
J31,"Rinitis, rinofaringitis y faringitis crónicas",R83,Otras infecciones respiratorias,
J31.0,Rinitis crónica,R83.02,Rinitis crónica,
J31.1,Rinofaringitis crónica,R83,Otras infecciones respiratorias,
J31.2,Faringitis crónica,R83.01,Faringitis crónica,
J32,Sinusitis crónica,R75,Sinusitis aguda/crónica,
J32.0,Sinusitis maxilar crónica,R75,Sinusitis aguda/crónica,
J32.1,Sinusitis frontal crónica,R75,Sinusitis aguda/crónica,
J32.2,Sinusitis etmoidal crónica,R75,Sinusitis aguda/crónica,
J32.3,Sinusitis esfenoidal crónica,R75,Sinusitis aguda/crónica,
J32.4,Pansinusitis crónica,R75,Sinusitis aguda/crónica,
J32.8,Otras sinusitis crónicas,R75,Sinusitis aguda/crónica,
J32.9,"Sinusitis crónica, no especificada",R75,Sinusitis aguda/crónica,
J33,Pólipo nasal,R99,Otras enfermedades del aparato respiratorio,
J33.0,Pólipo de la cavidad nasal,R99,Otras enfermedades del aparato respiratorio,
J33.1,Degeneración polipoide de seno paranasal,R99,Otras enfermedades del aparato respiratorio,
J33.8,Otros pólipos de los senos paranasales,R99,Otras enfermedades del aparato respiratorio,
J33.9,"Pólipo nasal, no especificado",R99,Otras enfermedades del aparato respiratorio,
J34,Otros trastornos de la nariz y de los senos paranasales,R99,Otras enfermedades del aparato respiratorio,
J34.0,"Absceso, furúnculo y ántrax de la nariz",R73,Forúnculo/absceso de la nariz,
J34.1,Quiste y mucocele de la nariz y del seno paranasal,R99,Otras enfermedades del aparato respiratorio,
J34.2,Desviación del tabique nasal,R99,Otras enfermedades del aparato respiratorio,
J34.3,Hipertrofia de los cornetes nasales,R99,Otras enfermedades del aparato respiratorio,
J34.8,Otros trastornos especificados de la nariz y de los senos paranasales,R99,Otras enfermedades del aparato respiratorio,
J35,Enfermedades crónicas de las amígdalas y de las adenoides,R90,Hipertrofia/infección crónica de amígdalas/adenoides,
J35.0,Amigdalitis crónica,R90,Hipertrofia/infección crónica de amígdalas/adenoides,
J35.1,Hipertrofia de las amígdalas,R90,Hipertrofia/infección crónica de amígdalas/adenoides,
J35.2,Hipertrofia de las adenoides,R90,Hipertrofia/infección crónica de amígdalas/adenoides,
J35.3,Hipertrofia de las amígdalas con hipertrofia de las adenoides,R90,Hipertrofia/infección crónica de amígdalas/adenoides,
J35.8,Otras enfermedades crónicas de las amígdalas y de las adenoides,R90,Hipertrofia/infección crónica de amígdalas/adenoides,
J35.9,"Enfermedad crónica de las amígdalas y de las adenoides, no especificada",R90,Hipertrofia/infección crónica de amígdalas/adenoides,
J36,Absceso periamigdalino,R76,Amigdalitis aguda,
J37,Laringitis y laringotraqueítis crónicas,R83,Otras infecciones respiratorias,
J37.0,Laringitis crónica,R83,Otras infecciones respiratorias,
J37.1,Laringotraqueítis crónica,R83,Otras infecciones respiratorias,
J38,"Enfermedades de las cuerdas vocales y de la laringe, no clasificadas en otra parte",R99,Otras enfermedades del aparato respiratorio,
J38.0,Parálisis de las cuerdas vocales y de la laringe,R99,Otras enfermedades del aparato respiratorio,
J38.1,Pólipo de las cuerdas vocales y de la laringe,R99,Otras enfermedades del aparato respiratorio,
J38.2,Nódulos de las cuerdas vocales,R99,Otras enfermedades del aparato respiratorio,
J38.3,Otras enfermedades de las cuerdas vocales,R99,Otras enfermedades del aparato respiratorio,
J38.4,Edema de laringe,R99,Otras enfermedades del aparato respiratorio,
J38.5,Espasmo laríngeo,R99,Otras enfermedades del aparato respiratorio,
J38.6,Estenosis laríngea,R99,Otras enfermedades del aparato respiratorio,
J38.7,Otras enfermedades de la laringe,R99,Otras enfermedades del aparato respiratorio,
J39,Otras enfermedades de las vías respiratorias superiores,R99,Otras enfermedades del aparato respiratorio,
J39.0,Absceso retrofaríngeo y parafaríngeo,R74,Infección respiratoria aguda del tracto superior,
J39.1,Otros abscesos de la faringe,R74,Infección respiratoria aguda del tracto superior,
J39.2,Otras enfermedades de la faringe,R99,Otras enfermedades del aparato respiratorio,
J39.3,"Reacción de hipersensibilidad de las vías respiratorias superiores, sitio no especificado",R99,Otras enfermedades del aparato respiratorio,
J39.8,Otras enfermedades especificadas de las vías respiratorias superiores,R99,Otras enfermedades del aparato respiratorio,
J39.9,"Enfermedad de las vías respiratorias superiores, no especificada",R99,Otras enfermedades del aparato respiratorio,
J40,"Bronquitis, no especificada como aguda o crónica",R78,Bronquitis/bronquiolitis aguda,
J41,Bronquitis crónica simple y mucopurulenta,R79,Bronquitis crónica,
J41.0,Bronquitis crónica simple,R79,Bronquitis crónica,
J41.1,Bronquitis crónica mucopurulenta,R79,Bronquitis crónica,
J41.8,Bronquitis crónica mixta simple y mucopurulenta,R79,Bronquitis crónica,
J42,Bronquitis crónica no especificada,R79,Bronquitis crónica,
J43,Enfisema,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J43.0,Síndrome de MacLeod,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J43.1,Enfisema panlobular,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J43.2,Enfisema centrolobular,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J43.8,Otros tipos de enfisema,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J43.9,"Enfisema, no especificado",R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J44,Otras enfermedades pulmonares obstructivas crónicas,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J44.0,Enfermedad pulmonar obstructiva crónica con infección aguda de las vías respiratorias inferiores,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J44.1,"Enfermedad pulmonar obstructiva crónica con exacerbación aguda, no especificada",R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J44.8,Otras enfermedades pulmonares obstructivas crónicas especificadas,R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J44.9,"Enfermedad pulmonar obstructiva crónica, no especificada",R95,Enfermedad pulmonar obstructiva crónica (EPOC),
J45,Asma,R96,Asma,
J45.0,Asma predominantemente alérgica,R96,Asma,
J45.1,Asma no alérgica,R96,Asma,
J45.8,Asma mixta,R96,Asma,
J45.9,"Asma, no especificada",R96,Asma,
J46,Estado asmático,R96,Asma,
J47,Bronquiectasia,R99,Otras enfermedades del aparato respiratorio,
J60,Neumoconiosis de los mineros del carbón,R99,Otras enfermedades del aparato respiratorio,
J61,Neumoconiosis debida al asbesto y a otras fibras minerales,R99,Otras enfermedades del aparato respiratorio,
J62,Neumoconiosis debida a polvo de sílice,R99,Otras enfermedades del aparato respiratorio,
J62.0,Neumoconiosis debida a polvo de talco,R99,Otras enfermedades del aparato respiratorio,
J62.8,Neumoconiosis debida a otros polvos que contienen sílice,R99,Otras enfermedades del aparato respiratorio,
J63,Neumoconiosis debida a otros polvos inorgánicos,R99,Otras enfermedades del aparato respiratorio,
J63.0,Aluminosis (del pulmón),R99,Otras enfermedades del aparato respiratorio,
J63.1,Fibrosis (del pulmón) debida a bauxita,R99,Otras enfermedades del aparato respiratorio,
J63.2,Beriliosis,R99,Otras enfermedades del aparato respiratorio,
J63.3,Fibrosis (del pulmón) debida a grafito,R99,Otras enfermedades del aparato respiratorio,
J63.4,Siderosis,R99,Otras enfermedades del aparato respiratorio,
J63.5,Estañosis,R99,Otras enfermedades del aparato respiratorio,
J63.8,Neumoconiosis debida a otros polvos inorgánicos especificados,R99,Otras enfermedades del aparato respiratorio,
J64,"Neumoconiosis, no especificada",R99,Otras enfermedades del aparato respiratorio,
J65,Neumoconiosis asociada con tuberculosis,R99,Otras enfermedades del aparato respiratorio,
J66,Enfermedades de las vías aéreas debidas a polvos orgánicos específicos,R99,Otras enfermedades del aparato respiratorio,
J66.0,Bisinosis,R99,Otras enfermedades del aparato respiratorio,
J66.1,Enfermedad de los trabajadores del lino,R99,Otras enfermedades del aparato respiratorio,
J66.2,Canabinosis,R99,Otras enfermedades del aparato respiratorio,
J66.8,Enfermedad de las vías aéreas debida a otros polvos orgánicos específicos,R99,Otras enfermedades del aparato respiratorio,
J67,Neumonitis debida a hipersensibilidad al polvo orgánico,R99,Otras enfermedades del aparato respiratorio,
J67.0,Pulmón del granjero,R99,Otras enfermedades del aparato respiratorio,
J67.1,Bagazosis,R99,Otras enfermedades del aparato respiratorio,
J67.2,Pulmón del ornitófilo,R99,Otras enfermedades del aparato respiratorio,
J67.3,Suberosis,R99,Otras enfermedades del aparato respiratorio,
J67.4,Pulmón del manipulador de malta,R99,Otras enfermedades del aparato respiratorio,
J67.5,Pulmón del manipulador de hongos,R99,Otras enfermedades del aparato respiratorio,
J67.6,Pulmón del descortezador del arce,R99,Otras enfermedades del aparato respiratorio,
J67.7,Neumonitis de la ventilación debida al acondicionador y humidificador del aire,R99,Otras enfermedades del aparato respiratorio,
J67.8,Neumonitis debidas a hipersensibilidad a otros polvos orgánicos,R99,Otras enfermedades del aparato respiratorio,
J67.9,Neumonitis debida a hipersensibilidad a polvo orgánico no especificado,R99,Otras enfermedades del aparato respiratorio,
J68,"Afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas",R99,Otras enfermedades del aparato respiratorio,
J68.0,"Bronquitis y neumonitis debidas a inhalación de gases, humos, vapores y sustancias químicas",R99,Otras enfermedades del aparato respiratorio,
J68.1,"Edema pulmonar agudo debido a inhalación de gases, humos, vapores y sustancias químicas",R99,Otras enfermedades del aparato respiratorio,
J68.2,"Inflamación respiratoria superior debida a inhalación de gases, humos, vapores y sustancias químicas, no clasificadas en otra parte",R99,Otras enfermedades del aparato respiratorio,
J68.3,"Otras afecciones respiratorias agudas y subagudas debidas a inhalación de gases, humos, vapores y sustancias químicas",R99,Otras enfermedades del aparato respiratorio,
J68.4,"Afecciones respiratorias crónicas debidas a inhalación de gases, humos, vapores y sustancias químicas",R99,Otras enfermedades del aparato respiratorio,
J68.8,"Otras afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas",R99,Otras enfermedades del aparato respiratorio,
J68.9,"Afección respiratoria no especificada, debida a inhalación de gases, humos, vapores y sustancias químicas",R99,Otras enfermedades del aparato respiratorio,
J69,Neumonitis debida a sólidos y líquidos,R99,Otras enfermedades del aparato respiratorio,
J69.0,Neumonitis debida a aspiración de alimento o vómito,R99,Otras enfermedades del aparato respiratorio,
J69.1,Neumonitis debida a aspiración de aceites y esencias,R99,Otras enfermedades del aparato respiratorio,
J69.8,Neumonitis debida a aspiración de otros sólidos y líquidos,R99,Otras enfermedades del aparato respiratorio,
J70,Afecciones respiratorias debidas a otros agentes externos,R99,Otras enfermedades del aparato respiratorio,
J70.0,Manifestaciones pulmonares agudas debidas a radiación,R99,Otras enfermedades del aparato respiratorio,
J70.1,Manifestaciones pulmonares crónicas y otras manifestaciones debidas a radiación,R99,Otras enfermedades del aparato respiratorio,
J70.2,Trastornos pulmonares intersticiales agudos inducidos por drogas,R99,Otras enfermedades del aparato respiratorio,
J70.3,Trastornos pulmonares intersticiales crónicos inducidos por drogas,R99,Otras enfermedades del aparato respiratorio,
J70.4,Trastornos pulmonares intersticiales no especificados inducidos por drogas,R99,Otras enfermedades del aparato respiratorio,
J70.8,Afecciones respiratorias debidas a otros agentes externos especificados,R99,Otras enfermedades del aparato respiratorio,
J70.9,Afecciones respiratorias debidas a agentes externos no especificados,R99,Otras enfermedades del aparato respiratorio,
J80,Síndrome de dificultad respiratoria del adulto,R99,Otras enfermedades del aparato respiratorio,
J81,Edema pulmonar,R99,Otras enfermedades del aparato respiratorio,
J82,"Eosinofilia pulmonar, no clasificada en otra parte",R99,Otras enfermedades del aparato respiratorio,
J84,Otras enfermedades pulmonares intersticiales,R99,Otras enfermedades del aparato respiratorio,
J84.0,Afecciones alveolares y alveoloparietales,R99,Otras enfermedades del aparato respiratorio,
J84.1,Otras enfermedades pulmonares intersticiales con fibrosis,R99,Otras enfermedades del aparato respiratorio,
J84.8,Otras enfermedades pulmonares intersticiales especificadas,R99,Otras enfermedades del aparato respiratorio,
J84.9,"Enfermedad pulmonar intersticial, no especificada",R99,Otras enfermedades del aparato respiratorio,
J85,Absceso del pulmón y del mediastino,R83,Otras infecciones respiratorias,
J85.0,Gangrena y necrosis del pulmón,R83,Otras infecciones respiratorias,
J85.1,Absceso del pulmón con neumonía,R83,Otras infecciones respiratorias,
J85.2,Absceso del pulmón sin neumonía,R83,Otras infecciones respiratorias,
J85.3,Absceso del mediastino,R83,Otras infecciones respiratorias,
J86,Piotórax,R83,Otras infecciones respiratorias,
J86.0,Piotórax con fístula,R83,Otras infecciones respiratorias,
J86.9,Piotórax sin fístula,R83,Otras infecciones respiratorias,
J90,Derrame pleural no clasificado en otra parte,R82,Derrame pleural/pleuritis,
J91,Derrame pleural en afecciones clasificadas en otra parte,R82,Derrame pleural/pleuritis,
J92,Paquipleuritis,R99,Otras enfermedades del aparato respiratorio,
J92.0,Paquipleuritis con asbestosis,R99,Otras enfermedades del aparato respiratorio,
J92.9,Paquipleuritis sin asbestosis,R99,Otras enfermedades del aparato respiratorio,
J93,Neumotórax,R99,Otras enfermedades del aparato respiratorio,
J93.0,Neumotórax espontáneo a presión,R99,Otras enfermedades del aparato respiratorio,
J93.1,Otros tipos de neumotórax espontáneo,R99,Otras enfermedades del aparato respiratorio,
J93.8,Otros neumotórax,R99,Otras enfermedades del aparato respiratorio,
J93.9,"Neumotórax, no especificado",R99,Otras enfermedades del aparato respiratorio,
J94,Otras afecciones de la pleura,R82,Derrame pleural/pleuritis,
J94.0,Quilotórax,R82,Derrame pleural/pleuritis,
J94.1,Fibrotórax,R82,Derrame pleural/pleuritis,
J94.2,Hemotórax,R82,Derrame pleural/pleuritis,
J94.8,Otras afecciones especificadas de la pleura,R82,Derrame pleural/pleuritis,
J94.9,"Afección pleural, no especificada",R82,Derrame pleural/pleuritis,
J95,"Trastornos del sistema respiratorio consecutivos a procedimientos, no clasificados en otra parte",A87,Complicación de tratamiento médico,
J95.0,Funcionamiento defectuoso de la traqueostomía,A87,Complicación de tratamiento médico,
J95.1,Insuficiencia pulmonar aguda consecutiva a cirugía torácica,A87,Complicación de tratamiento médico,
J95.2,Insuficiencia pulmonar aguda consecutiva a cirugía extratorácica,A87,Complicación de tratamiento médico,
J95.3,Insuficiencia pulmonar crónica consecutiva a cirugía,A87,Complicación de tratamiento médico,
J95.4,Síndrome de Mendelson,A87,Complicación de tratamiento médico,
J95.5,Estenosis subglótica consecutiva a procedimientos,A87,Complicación de tratamiento médico,
J95.8,Otros trastornos respiratorios consecutivos a procedimientos,A87,Complicación de tratamiento médico,
J95.9,"Trastorno no especificado del sistema respiratorio, consecutivo a procedimientos",A87,Complicación de tratamiento médico,
J96,"Insuficiencia respiratoria, no clasificada en otra parte",R99,Otras enfermedades del aparato respiratorio,
J96.0,Insuficiencia respiratoria aguda,R99,Otras enfermedades del aparato respiratorio,
J96.1,Insuficiencia respiratoria crónica,R99,Otras enfermedades del aparato respiratorio,
J96.9,"Insuficiencia respiratoria, no especificada",R99,Otras enfermedades del aparato respiratorio,
J98,Otros trastornos respiratorios,R99,Otras enfermedades del aparato respiratorio,
J98.0,"Enfermedades de la tráquea y de los bronquios, no clasificadas en otra parte",R99,Otras enfermedades del aparato respiratorio,
J98.1,Colapso pulmonar,R99,Otras enfermedades del aparato respiratorio,
J98.2,Enfisema intersticial,R99,Otras enfermedades del aparato respiratorio,
J98.3,Enfisema compensatorio,R99,Otras enfermedades del aparato respiratorio,
J98.4,Otros trastornos del pulmón,R99,Otras enfermedades del aparato respiratorio,
J98.5,"Enfermedades del mediastino, no clasificadas en otra parte",R99,Otras enfermedades del aparato respiratorio,
J98.6,Trastornos del diafragma,R99,Otras enfermedades del aparato respiratorio,
J98.8,Otros trastornos respiratorios especificados,R99,Otras enfermedades del aparato respiratorio,
J98.9,"Trastorno respiratorio, no especificado",R99,Otras enfermedades del aparato respiratorio,
J99,Trastornos respiratorios en enfermedades clasificadas en otra parte,R99,Otras enfermedades del aparato respiratorio,
J99.0,Enfermedad pulmonar reumatoide (M05.1†),R99,Otras enfermedades del aparato respiratorio,
J99.1,Trastornos respiratorios en otros trastornos difusos del tejido conjuntivo,R99,Otras enfermedades del aparato respiratorio,
J99.8,Trastornos respiratorios en otras enfermedades clasificadas en otra parte,R99,Otras enfermedades del aparato respiratorio,
K00,Trastornos del desarrollo y de la erupción de los dientes,D82,Enfermedades de los dientes/encías,
K00.0,Anodoncia,D81,Anomalías congénitas del aparato digestivo,
K00.1,Dientes supernumerarios,D81,Anomalías congénitas del aparato digestivo,
K00.2,Anomalías del tamaño y de la forma del diente,D82,Enfermedades de los dientes/encías,
K00.3,Dientes moteados,D82,Enfermedades de los dientes/encías,
K00.4,Alteraciones en la formación dentaria,D82,Enfermedades de los dientes/encías,
K00.5,"Alteraciones hereditarias de la estructura dentaria, no clasificadas en otra parte",D82,Enfermedades de los dientes/encías,
K00.6,Alteraciones en la erupción dentaria,D82,Enfermedades de los dientes/encías,
K00.7,Síndrome de la erupción dentaria,D19,Signos/síntomas de dientes y encías,
K00.8,Otros trastornos del desarrollo de los dientes,D82,Enfermedades de los dientes/encías,
K00.9,"Trastorno del desarrollo de los dientes, no especificado",D82,Enfermedades de los dientes/encías,
K01,Dientes incluidos e impactados,D82,Enfermedades de los dientes/encías,
K01.0,Dientes incluidos,D82,Enfermedades de los dientes/encías,
K01.1,Dientes impactados,D82,Enfermedades de los dientes/encías,
K02,Caries dental,D82,Enfermedades de los dientes/encías,
K02.0,Caries limitada al esmalte,D82,Enfermedades de los dientes/encías,
K02.1,Caries de la dentina,D82,Enfermedades de los dientes/encías,
K02.2,Caries del cemento,D82,Enfermedades de los dientes/encías,
K02.3,Caries dentaria detenida,D82,Enfermedades de los dientes/encías,
K02.4,Odontoclasia,D82,Enfermedades de los dientes/encías,
K02.8,Otras caries dentales,D82,Enfermedades de los dientes/encías,
K02.9,"Caries dental, no especificada",D82,Enfermedades de los dientes/encías,
K03,Otras enfermedades de los tejidos duros de los dientes,D82,Enfermedades de los dientes/encías,
K03.0,Atrición excesiva de los dientes,D82,Enfermedades de los dientes/encías,
K03.1,Abrasión de los dientes,D82,Enfermedades de los dientes/encías,
K03.2,Erosión de los dientes,D82,Enfermedades de los dientes/encías,
K03.3,Reabsorción patológica de los dientes,D82,Enfermedades de los dientes/encías,
K03.4,Hipercementosis,D82,Enfermedades de los dientes/encías,
K03.5,Anquilosis dental,D82,Enfermedades de los dientes/encías,
K03.6,Depósitos [acreciones] en los dientes,D19,Signos/síntomas de dientes y encías,
K03.7,Cambios posteruptivos del color de los tejidos dentales duros,D19,Signos/síntomas de dientes y encías,
K03.8,Otras enfermedades especificadas de los tejidos duros de los dientes,D82,Enfermedades de los dientes/encías,
K03.9,Enfermedad no especificada de los tejidos dentales duros,D82,Enfermedades de los dientes/encías,
K04,Enfermedades de la pulpa y de los tejidos periapicales,D82,Enfermedades de los dientes/encías,
K04.0,Pulpitis,D82,Enfermedades de los dientes/encías,
K04.1,Necrosis de la pulpa,D82,Enfermedades de los dientes/encías,
K04.2,Degeneración de la pulpa,D82,Enfermedades de los dientes/encías,
K04.3,Formación anormal de tejido duro en la pulpa,D82,Enfermedades de los dientes/encías,
K04.4,Periodontitis apical aguda originada en la pulpa,D82,Enfermedades de los dientes/encías,
K04.5,Periodontitis apical crónica,D82,Enfermedades de los dientes/encías,
K04.6,Absceso periapical con fístula,D82,Enfermedades de los dientes/encías,
K04.7,Absceso periapical sin fístula,D82,Enfermedades de los dientes/encías,
K04.8,Quiste radicular,D82,Enfermedades de los dientes/encías,
K04.9,Otras enfermedades y las no especificadas de la pulpa y del tejido periapical,D82,Enfermedades de los dientes/encías,
K05,Gingivitis y enfermedades periodontales,D82,Enfermedades de los dientes/encías,
K05.0,Gingivitis aguda,D82,Enfermedades de los dientes/encías,
K05.1,Gingivitis crónica,D82,Enfermedades de los dientes/encías,
K05.2,Periodontitis aguda,D82,Enfermedades de los dientes/encías,
K05.3,Periodontitis crónica,D82,Enfermedades de los dientes/encías,
K05.4,Periodontosis,D82,Enfermedades de los dientes/encías,
K05.5,Otras enfermedades periodontales,D82,Enfermedades de los dientes/encías,
K05.6,"Enfermedad del periodonto, no especificada",D82,Enfermedades de los dientes/encías,
K06,Otros trastornos de la encía y de la zona edéntula,D82,Enfermedades de los dientes/encías,
K06.0,Retracción gingival,D82,Enfermedades de los dientes/encías,
K06.1,Hiperplasia gingival,D82,Enfermedades de los dientes/encías,
K06.2,Lesiones de la encía y de la zona edéntula asociadas con traumatismo,D82,Enfermedades de los dientes/encías,
K06.8,Otros trastornos especificados de la encía y de la zona edéntula,D82,Enfermedades de los dientes/encías,
K06.9,Trastorno no especificado de la encía y de la zona edéntula,D82,Enfermedades de los dientes/encías,
K07,Anomalías dentofaciales [incluso la maloclusión],D82,Enfermedades de los dientes/encías,
K07.0,Anomalías evidentes del tamaño de los maxilares,L07,Signos/síntomas de la mandíbula,
K07.1,Anomalías de la relación maxilobasilar,D82,Enfermedades de los dientes/encías,
K07.2,Anomalías de la relación entre los arcos dentarios,D82,Enfermedades de los dientes/encías,
K07.3,Anomalías de la posición del diente,D82,Enfermedades de los dientes/encías,
K07.4,Maloclusión de tipo no especificado,D82,Enfermedades de los dientes/encías,
K07.5,Anomalías dentofaciales funcionales,D82,Enfermedades de los dientes/encías,
K07.6,Trastornos de la articulación temporomaxilar,D82,Enfermedades de los dientes/encías,
K07.8,Otras anomalías dentofaciales,D82,Enfermedades de los dientes/encías,
K07.9,"Anomalía dentofacial, no especificada",D82,Enfermedades de los dientes/encías,
K08,Otros trastornos de los dientes y de sus estructuras de sostén,D82,Enfermedades de los dientes/encías,
