CIE9,literal_CIE9,BDCAP,literal_BDCAP,https://www.sanidad.gob.es/estadEstudios/estadisticas/estadisticas/estMinisterio/SIAP/map_cie9mc_cie10_ciap2.htm
131.01,VULVOVAGINITIS TRICOMONAL,YX73,Tricomoniasis urogenital (incluye X73),
131.02,URETRITIS TRICOMONAL,YX73,Tricomoniasis urogenital (incluye X73),
131.03,PROSTATITIS TRICOMONAL,YX73,Tricomoniasis urogenital (incluye X73),
131.09,OTRAS TRICOMONIASIS,YX73,Tricomoniasis urogenital (incluye X73),
131.8,OTROS SITIOS ESPECIFICADOS DE TRICOMONIASIS,A78,Otras enfermedades infecciosas no especificadas,
131.9,TRICOMONIASIS SIN ESPECIFICAR,A78,Otras enfermedades infecciosas no especificadas,
132,PEDICULOSIS E INFESTACION POR PIOJOS,S73,Pediculosis y otras infestaciones de la piel,
132.0,PEDICULUS CAPITIS (PIOJO DE LA CABEZA),S73,Pediculosis y otras infestaciones de la piel,
132.1,PEDICULUS CORPORIS (PIOJO DEL CUERPO),S73,Pediculosis y otras infestaciones de la piel,
132.2,PHTHIRUS PUBIS (PIOJO PUBICO),S73,Pediculosis y otras infestaciones de la piel,
132.3,INFECCIONES MIXTAS,S73,Pediculosis y otras infestaciones de la piel,
132.9,PEDICULOSIS SIN ESPECIFICAR,S73,Pediculosis y otras infestaciones de la piel,
133,ACARIASIS,S72,Sarna y otras ascaridiasis,
133.0,SARNA,S72,Sarna y otras ascaridiasis,
133.8,OTRAS ACARIASIS,S72,Sarna y otras ascaridiasis,
133.9,ACARIASIS SIN ESPECIFICAR,S72,Sarna y otras ascaridiasis,
134,OTRAS INFESTACIONES,S73,Pediculosis y otras infestaciones de la piel,
134.0,MIIASIS,S73,Pediculosis y otras infestaciones de la piel,
134.1,INFESTACION POR OTROS ARTROPODO,S73,Pediculosis y otras infestaciones de la piel,
134.2,HIRUDINIASIS,S73,Pediculosis y otras infestaciones de la piel,
134.8,OTRAS INFESTACIONES ESPECIFICADAS,S73,Pediculosis y otras infestaciones de la piel,
134.9,INFESTACION SIN ESPECIFICAR,S73,Pediculosis y otras infestaciones de la piel,
135,SARCOIDOSIS,B99,Otras enfermedades hematológicas/linfáticas/inmunológicas,
136,ENF.INFECCIOSAS Y PARASITARIAS Y OTRAS SIN ESPECIFICAR,A99,Otras enfermedades generales no especificadas,
136.0,AINHUM,S99,Otras enfermedades de la piel,
136.1,SINDROME BEHCET,L99,OTRAS ENFERMEDADES DEL APARATO LOCOMOTOR,
136.2,INFECCION ESPECIFICA POR AMEBAS DE VIDA LIBRE,A78,Otras enfermedades infecciosas no especificadas,
136.21,INFECCION ESPECIFICA POR ACANTHAMOEBA,A78,Otras enfermedades infecciosas no especificadas,
136.29,OTRAS INFECCIONES ESPECIFICAS POR AMAEBAS LIBRES,A78,Otras enfermedades infecciosas no especificadas,
136.3,NEUMOCISTOSIS,R81,Neumonía,
136.4,PSOROESPERMIASIS,A97,Sin enfermedad,
136.5,SARCOSPORIDIOSIS,A78,Otras enfermedades infecciosas no especificadas,
136.8,OTRAS ENFERMEDAD INFECCIOSA Y PARASITARIA ESPECIFICADAS,A78,Otras enfermedades infecciosas no especificadas,
136.9,ENFERMEDAD INFECCIOSA Y PARASITARIA SIN ESPECIFICAR,A78,Otras enfermedades infecciosas no especificadas,
137,EFECTOS TARDIOS DE TBC,A70,Tuberculosis,
137.0,EFECTO TARDIO DE TBC RESPIRATORIA O SIN ESPECIFICAR,A70,Tuberculosis,
137.1,EFECTO TARDIO DE TBC SNC,A70,Tuberculosis,
137.2,EFECTO TARDIO DE TBC GENITOURINARIA,A70,Tuberculosis,
137.3,EFECTO TARDIO DE TBC OSEA Y ARTICULAR,A70,Tuberculosis,
137.4,EFECTO TARDIO DE TBC DE OTROS ORGANOS NCOC,A70,Tuberculosis,
138,EFECTO TARDIO DE POLIOMIELITIS AGUDA,N70,Poliomielitis,
139,EFECTO TARDIO DE OTRAS ENF.INFEC. Y PARASIT.,A78,Otras enfermedades infecciosas no especificadas,
139.0,EFECTO TARDIO DE ENCEFALITIS VIRAL,N71,Meningitis/encefalitis,
139.1,EFECTO TARDIO DE TRACOMA,F86,Tracoma,
139.8,EFECTO TARDIO ENF.INFEC. Y PARASIT. Y OTRAS NO ESPECIFICADAS,A78.17,Secuelas de otras enfermedades infecciosas y parasitarias,
140,NEOPLASIA MALIGNA DE LABIO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.0,NEOPLASIA MALIGNA DE LABIO SUPERIOR BORDE BERMEJO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.1,NEOPLASIA MALIGNA DE LABIO INFERIOR BORDE BERMEJO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.3,NEOPLASIA MALIGNA DE LABIO SUPERIOR CARA INTERNA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.4,NEOPLASIA MALIGNA DE LABIO INFERIOR CARA INTERNA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.5,NEOPLASIA MALIGNA DE LABIO SIN ESPECIFICAR CARA INTERNA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.6,NEOPLASIA MALIGNA DE COMISURA DEL LABIO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.8,NEOPLASIA MALIGNA DE OTROS SITIOS DEL LABIO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
140.9,NEOPLASIA MALIGNA DE LABIO NO ESPECIFICADO BORDE BERMEJO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141,NEOPLASIA MALIGNA DE LENGUA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.0,NEOPLASIA MALIGNA DE BASE DE LA LENGUA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.1,NEOPLASIA MALIGNA DE SUPERFICIE DORSAL LENGUA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.2,NEOPLASIA MALIGNA DE PUNTA O BORDE LATERAL LENGUA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.3,NEOPLASIA MALIGNA DE SUPERFICIE VENTRAL LENGUA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.4,N. MALIGNA DOS TERCIOS ANTERIORES LENGUA   PARTE SIN ESPECIF,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.5,NEOPLASIA MALIGNA DE ZONA UNION LENGUA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.6,NEOPLASIA MALIGNA DE AMIGDALA LINGUAL,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.8,NEOPLASIA MALIGNA DE OTROS SITIOS DE LA LENGUA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
141.9,NEOPLASIA MALIGNA DE LENGUA SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
142,NEOPLASIA MALIGNA DE GLANDULAS SALIVARES MAYORES,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
142.0,NEOPLASIA MALIGNA DE GLANDULA PAROTIDA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
142.1,NEOPLASIA MALIGNA DE GLANDULA SUBMANDIBULAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
142.2,NEOPLASIA MALIGNA DE GLANDULA SUBLINGUAL,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
142.8,NEOPLASIA MALIGNA DE OTRAS GLANDULAS SALIVARES MAYORES,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
142.9,NEOPLASIA MALIGNA DE GLANDULA SALIVAR SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
143,NEOPLASIA MALIGNA ENCIA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
143.0,NEOPLASIA MALIGNA DE ENCIA SUPERIOR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
143.1,NEOPLASIA MALIGNA DE ENCIA INFERIOR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
143.8,NEOPLASIA MALIGNA DE OTROS SITIOS DE LA ENCIA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
143.9,NEOPLASIA MALIGNA DE ENCIA SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
144,NEOPLASIA MALIGNA DEL SUELO DE LA BOCA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
144.0,NEOPLASIA MALIGNA DE PORCION ANTERIOR DEL SUELO DE LA BOCA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
144.1,NEOPLASIA MALIGNA DE PORCION LATERAL DEL SUELO DE LA BOCA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
144.8,NEOPLASIA MALIGNA DE OTROS SITIOS DEL SUELO BOCA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
144.9,NEOPLASIA MALIGNA DE SUELO DE LA BOCA PARTE SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145,NEOPLASIA MALIGNA OTRAS PARTES BOCA Y PARTES SIN ESPECIFIC.,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.0,NEOPLASIA MALIGNA DE LA MUCOSA DE LA MEJILLA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.1,NEOPLASIA MALIGNA DEL VESTIBULO DE LA BOCA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.2,NEOPLASIA MALIGNA DEL PALADAR DURO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.3,NEOPLASIA MALIGNA DEL PALADAR BLANDO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.4,NEOPLASIA MALIGNA DE LA UVULA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.5,NEOPLASIA MALIGNA DEL PALADAR SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.6,NEOPLASIA MALIGNA DE LA ZONA RETROMOLAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.8,NEOPLASIA MALIGNA DE OTRAS PARTES ESPECIFICADAS DE LA BOCA,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
145.9,NEOPLASIA MALIGNA DE LA BOCA SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
146,NEOPLASIA MALIGNA OROFARINGE,R85,Otras neoplasias malignas del aparato respiratorio,
146.0,NEOPLASIA MALIGNA DE AMIGDALA,R85,Otras neoplasias malignas del aparato respiratorio,
146.1,NEOPLASIA MALIGNA DE FOSA AMIGDALAR,R85,Otras neoplasias malignas del aparato respiratorio,
146.2,NEOPLASIA MALIGNA DE PILARES TONSILARES (ANTER.)(POSTER.),R85,Otras neoplasias malignas del aparato respiratorio,
146.3,NEOPLASIA MALIGNA DE LA VALLECULA,R85,Otras neoplasias malignas del aparato respiratorio,
146.4,NEOPLASIA MALIGNA DE AREA ANTERIOR EPIGLOTIS,R85,Otras neoplasias malignas del aparato respiratorio,
146.5,NEOPLASIA MALIGNA DE LA ZONA DE UNION DE LA EPIGLOTIS,R85,Otras neoplasias malignas del aparato respiratorio,
146.6,NEOPLASIA MALIGNA DE LA OROFARINGE PARED LATERAL,R85,Otras neoplasias malignas del aparato respiratorio,
146.7,NEOPLASIA MALIGNA DE LA OROFARINGE PARED POSTERIOR,R85,Otras neoplasias malignas del aparato respiratorio,
146.8,NEOPLASIA MALIGNA DE LA OROFARINGE OTROS SITIOS ESPECIFICADO,R85,Otras neoplasias malignas del aparato respiratorio,
146.9,NEOPLASIA MALIGNA DE LA OROFARINGE SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
147,NEOPLASIA MALIGNA NASOFARINGE,R85,Otras neoplasias malignas del aparato respiratorio,
147.0,"NEOPLASIA MALIGNA DE LA NASOFARINGE, PARED SUPERIOR",R85,Otras neoplasias malignas del aparato respiratorio,
147.1,"NEOPLASIA MALIGNA DE LA NASOFARINGE, PARED POSTERIOR",R85,Otras neoplasias malignas del aparato respiratorio,
147.2,"NEOPLASIA MALIGNA DE LA NASOFARINGE,  PARED LATERAL",R85,Otras neoplasias malignas del aparato respiratorio,
147.3,"NEOPLASIA MALIGNA DE LA NASOFERINGE,  PARED ANTERIOR",R85,Otras neoplasias malignas del aparato respiratorio,
147.8,NEOPLASIA MALIGNA DE OTROS SITIOS ESPECIFICADOS NASOFARINGE,R85,Otras neoplasias malignas del aparato respiratorio,
147.9,NEOPLASIA MALIGNA DE NASOFARINGE SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
148,NEOPLASIA MALIGNA HIPOFARINGE,R85,Otras neoplasias malignas del aparato respiratorio,
148.0,NEOPLASIA MALIGNA DE REGION POSTRICOIDES,R85,Otras neoplasias malignas del aparato respiratorio,
148.1,NEOPLASIA MALIGNA DE SENO PIRIFORME,R85,Otras neoplasias malignas del aparato respiratorio,
148.2,"NEOPLASIA MALIGNA DE PLIEGUE ARIEPIGLOTICO, ASPECTO HIPOFARI",R85,Otras neoplasias malignas del aparato respiratorio,
148.3,NEOPLASIA MALIGNA DE HIPOFARINGE PARED POSTERIOR,R85,Otras neoplasias malignas del aparato respiratorio,
148.8,NEOPLASIA MALIGNA DE HIPOFARINGE OTROS SITIOS ESPECIFICADOS,R85,Otras neoplasias malignas del aparato respiratorio,
148.9,NEOPLASIA MALIGNA DE HIPOFARINGE SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
149,NEOPLASIA MALIGNA OTROS SITIOS Y MAL DEF. LABIO Y OROFARINGE,A79,Cáncer/neoplasia maligna no especificada,
149.0,NEOPLASIA MALIGNA DE FARINGE SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
149.1,NEOPLASIA MALIGNA DE ANILLO WALDEYER,R85,Otras neoplasias malignas del aparato respiratorio,
149.8,"N. MALIGNA DE OTRO SITIOS MAL DEF.DE LABIO, C.BUCAL, FARINGE",A79,Cáncer/neoplasia maligna no especificada,
149.9,N. MALIGNA DE OROFARINGE (SITIOS MAL DEFINIDOS),R85,Otras neoplasias malignas del aparato respiratorio,
150,NEOPLASIA MALIGNA ESOFAGO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.0,N. MALIGNA DE ESOFAGO CERVICAL,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.1,N. MALIGNA DE ESOFAGO TORACICO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.2,N. MALIGNA DE ESOFAGO ABDOMINAL,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.3,N. MALIGNA DE 1/3 SUPERIOR ESOFAGO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.4,N. MALIGNA DE 1/3 MEDIANO ESOFAGO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.5,N. MALIGNA DE 1/3 INFERIOR ESOFAGO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.8,N. MALIGNA DE OTRAS PARTES ESPECIFICADAS,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
150.9,N. MALIGNA DE ESOFAGO SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
151,NEOPLASIA MALIGNA ESTOMAGO,D74,Neoplasias malignas del estómago,
151.0,N. MALIGNA DE CARDIAS,D74,Neoplasias malignas del estómago,
151.1,N. MALIGNA DE PILORO,D74,Neoplasias malignas del estómago,
151.2,N. MALIGNA DE ANTRO PILORICO,D74,Neoplasias malignas del estómago,
151.3,N. MALIGNA DE FONDO DEL ESTOMAGO,D74,Neoplasias malignas del estómago,
151.4,N. MALIGNA DEL CUERPO DEL ESTOMAGO,D74,Neoplasias malignas del estómago,
151.5,N. MALIGNA DE CURVATURA MENOR SIN ESPECIFICAR,D74,Neoplasias malignas del estómago,
151.6,N. MALIGNA DE CURVATURA MAYOR SIN ESPECIFICAR,D74,Neoplasias malignas del estómago,
151.8,N. MALIGNA DE OTROS SITIOS ESPECIFICADOS DEL ESTOMAGO,D74,Neoplasias malignas del estómago,
151.9,N. MALIGNA DE ESTOMAGO SIN ESPECIFICAR,D74,Neoplasias malignas del estómago,
152,"NEOPLASIA MALIGNA INTESTINO DELGADO, INCLUYENDO DUODENO",D77,Otras neoplasias malignas del aparato digestivo no especificadas,
152.0,N. MALIGNA DE DUODENO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
152.1,N. MALIGNA DE YEYUNO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
152.2,N. MALIGNA DE ILEON,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
152.3,N. MALIGNA DE DIVERTICULO DE MECKEL,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
152.8,N. MALIGNA DE OTROS SITIOS ESPECIFICADOS INTESTINO DELGADO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
152.9,N. MALIGNA DE INTESTINO DELGADO SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
153,NEOPLASIA MALIGNA COLON,D75,Neoplasias malignas de colon/recto,
153.0,N. MALIGNA DE FLEXURA HEPATICA,D75,Neoplasias malignas de colon/recto,
153.1,N. MALIGNA DE COLON TRANSVERSAL,D75,Neoplasias malignas de colon/recto,
153.2,N. MALIGNA COLON DESCENDENTE,D75,Neoplasias malignas de colon/recto,
153.3,N. MALIGNA COLON SIGMOIDAL,D75,Neoplasias malignas de colon/recto,
153.4,N. MALIGNA DE CIEGO,D75,Neoplasias malignas de colon/recto,
153.5,N. MALIGNA DE APENDICE,D75,Neoplasias malignas de colon/recto,
153.6,N. MALIGNA DE COLON ASCENDENTE,D75,Neoplasias malignas de colon/recto,
153.7,N. MALIGNA DE FLEXURA ESPLENICA,D75,Neoplasias malignas de colon/recto,
153.8,N. MALIGNA DE OTROS SITIOS ESPECIFICADOS INTESTINO GRUESO,D75,Neoplasias malignas de colon/recto,
153.9,N. MALIGNA DE COLON SIN ESPECIFICAR,D75,Neoplasias malignas de colon/recto,
154,"NEOPLASIA MALIGNA RECTO, UNION RECTOSIGMOIDEA Y ANO",D75,Neoplasias malignas de colon/recto,
154.0,N. MALIGNA DE UNION RECTOSIGMOIDAL,D75,Neoplasias malignas de colon/recto,
154.1,N. MALIGNA DE RECTO,D75,Neoplasias malignas de colon/recto,
154.2,N. MALIGNA DE CANAL ANAL,D75,Neoplasias malignas de colon/recto,
154.3,N. MALIGNA DE ANO SIN ESPECIFICAR,D75,Neoplasias malignas de colon/recto,
154.8,"N. MALIGNA DE OTRAS NEOPLASIAS DE RECTO,UNION RECTOSIG.Y ANO",D75,Neoplasias malignas de colon/recto,
155,NEOPLASIA MALIGNA HIGADO Y CONDUCTOS BILIARES INTRAHEPAT.,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
155.0,"N. MALIGNA DE HIGADO, PRIMARIO",D77,Otras neoplasias malignas del aparato digestivo no especificadas,
155.1,N. MALIGNA DE CONDUCTOS BILIARES INTRAHEPATICOS,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
155.2,N. MALIGNA DE HIGADO SIN ESPECIFICAR COMO PRIMARIO NI SECUND,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
156,NEOPLASIA MALIGNA V.BILIAR Y COND.BIL.EXTRAHEPATICOS,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
156.0,N. MALIGNA DE VESICULA BILIAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
156.1,N. MALIGNA DE CONDUCTOS BILIARES EXTRAHEPATICOS,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
156.2,N. MALIGNA DE AMPOLLA DE VATER,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
156.8,N. MALIGNA OTROS SITIOS ESPECIF. V.BILIAR Y COND.BIL.EXTRAHE,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
156.9,N. MALIGNA DE TRACTO BILIAR PARTE SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
157,NEOPLASIA MALIGNA PANCREAS,D76,Neoplasias malignas de páncreas,
157.0,N. MALIGNA DE CABEZA PANCREAS,D76,Neoplasias malignas de páncreas,
157.1,N. MALIGNA DE CUERPO PANCREAS,D76,Neoplasias malignas de páncreas,
157.2,N. MALIGNA DE COLA PANCREAS,D76,Neoplasias malignas de páncreas,
157.3,N. MALIGNA DE CONDUCTO PANCREATICO,D76,Neoplasias malignas de páncreas,
157.4,N. MALIGNA DE ISLOTES DE LANGERHANS,D76,Neoplasias malignas de páncreas,
157.8,N. MALIGNA DE OTROS SITIOS ESPECIFICADOS PANCREAS,D76,Neoplasias malignas de páncreas,
157.9,N. MALIGNA DE PANCREAS PARTE SIN ESPECIFICAR,D76,Neoplasias malignas de páncreas,
158,NEOPLASIA MALIGNA RETROPERITONEO Y PERITONEO,A79,Cáncer/neoplasia maligna no especificada,
158.0,N. MALIGNA DE RETROPERITONEO,A79,Cáncer/neoplasia maligna no especificada,
158.8,N. MALIGNA DE PERITONEO PARTES ESPECIFICADAS,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
158.9,N. MALIGNA DE PERITONEO SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
159,N. MALIGNA NEOPLASIA MALIGNA DIGESTIVO/PERITONEO OTROS SITIO,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
159.0,N. MALIGNA TRACTO INTESTINAL PARTE SIN ESPECIFICAR,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
159.1,N. MALIGNA DE BAZO SIN CLASIFICAR BAJO OTROS CONCEPTOS,B74,Otras neoplasias malignas hematológicas,
159.8,N. MALIGNA OTROS SITIOS SISTEMA DIGESTIVO Y ORGANOS INTRAABD,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
159.9,N. MALIGNA DIGESTIVO/PERITONEO MAL DEFINIDOS,D77,Otras neoplasias malignas del aparato digestivo no especificadas,
160,"NEOPLASIA MALIG FOSAS NASALES, OIDO MEDIO Y SENOS ACCESORIOS",A79,Cáncer/neoplasia maligna no especificada,
160.0,N. MALIGNA DE FOSAS NASALES,R85,Otras neoplasias malignas del aparato respiratorio,
160.1,N. MALIGNA COND. AUDITIVO OIDO MEDIO Y CEL.MASTOIDEAS,H75,Neoplasias del aparato auditivo,
160.2,N. MALIGNA SENO MAXILAR,R85,Otras neoplasias malignas del aparato respiratorio,
160.3,N. MALIGNA SENO ETMOIDAL,R85,Otras neoplasias malignas del aparato respiratorio,
160.4,N. MALIGNA SENO FRONTAL,R85,Otras neoplasias malignas del aparato respiratorio,
160.5,N. MALIGNA SENO ESFENOIDAL,R85,Otras neoplasias malignas del aparato respiratorio,
160.8,"N. MALIGNA OTROS SITIOS DE F. NASALES, OIDO M. S.ACC",A79,Cáncer/neoplasia maligna no especificada,
160.9,N. MALIGNA DE SENO ACCESORIO SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
161,NEOPLASIA MALIGNA LARINGE,R85,Otras neoplasias malignas del aparato respiratorio,
161.0,N. MALIGNA DE GLOTIS,R85,Otras neoplasias malignas del aparato respiratorio,
161.1,N. MALIGNA DE SUPRAGLOTIS,R85,Otras neoplasias malignas del aparato respiratorio,
161.2,N. MALIGNA DE SUBGLOTIS,R85,Otras neoplasias malignas del aparato respiratorio,
161.3,N. MALIGNA DE CARTILAGOS LARINGEOS,R85,Otras neoplasias malignas del aparato respiratorio,
161.8,N. MALIGNA DE OTROS SITIOS ESPECIFICADOS LARINGE,R85,Otras neoplasias malignas del aparato respiratorio,
161.9,N. MALIGNA DE LARINGE SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
162,"NEOPLASIA MALIGNA TRAQUEA, BRONQUIOS Y PULMON",R84,Neoplasias malignas de tráquea/bronquios/pulmón,
162.0,N. MALIGNA DE TRAQUEA,R84,Neoplasias malignas de tráquea/bronquios/pulmón,
162.2,N. MALIGNA DE BRONQUIO PRINCIPAL,R84,Neoplasias malignas de tráquea/bronquios/pulmón,
162.3,"N. MALIGNA LOBULO SUPERIOR, BRONQUIO O PULMON",R84,Neoplasias malignas de tráquea/bronquios/pulmón,
162.4,"N. MALIGNA LOBULO MEDIO, BRONQUIO O PULMON",R84,Neoplasias malignas de tráquea/bronquios/pulmón,
162.5,"N. MALIGNA LOBULO INFERIOR, BRONQUIO O PULMON",R84,Neoplasias malignas de tráquea/bronquios/pulmón,
162.8,N. MALIGNA DE OTRAS PARTES DEL BRONQUIO O PULMON,R84,Neoplasias malignas de tráquea/bronquios/pulmón,
162.9,N. MALIGNA DE BRONQUIO Y PULMON SIN ESPECIFICAR,R84,Neoplasias malignas de tráquea/bronquios/pulmón,
163,NEOPLASIA MALIGNA PLEURA,R85,Otras neoplasias malignas del aparato respiratorio,
163.0,N. MALIGNA DE PLEURA PARIETAL,R85,Otras neoplasias malignas del aparato respiratorio,
163.1,N. MALIGNA DE PLEURA VISCERAL,R85,Otras neoplasias malignas del aparato respiratorio,
163.8,N. MALIGNA DE OTROS SITIOS ESPECIFICADOS DE PLEURA,R85,Otras neoplasias malignas del aparato respiratorio,
163.9,N. MALIGNA DE PLEURA SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
164,"NEOPLASIA MALIGNA TIMO, CORAZON Y MEDIASTINO",A79,Cáncer/neoplasia maligna no especificada,
164.0,N. MALIGNA DE TIMO,R85,Otras neoplasias malignas del aparato respiratorio,
164.1,N. MALIGNA DE CORAZON,K72,Neoplasias cardiovasculares,
164.2,N. MALIGNA DE MEDIASTINO ANTERIOR,R85,Otras neoplasias malignas del aparato respiratorio,
164.3,N. MALIGNA DE MEDIASTINO POSTERIOR,R85,Otras neoplasias malignas del aparato respiratorio,
164.8,"N. MALIGNA DE OTROS STIOS CONTIG. DE TIMO, COREZON Y MEDIAST",A79,Cáncer/neoplasia maligna no especificada,
164.9,N. MALIGNA DE MEDIASTINO PARTE SIN ESPECIFICAR,R85,Otras neoplasias malignas del aparato respiratorio,
165,NEOPLASIA MALIGNA RESPIRATORIO/IMTRATORACICO OTROS SITIOS,A79,Cáncer/neoplasia maligna no especificada,
165.0,N. MALIGNA TRACTO RESPIRATORIO SUPERIOR PARTE SIN ESPECIFICA,R85,Otras neoplasias malignas del aparato respiratorio,
165.8,N. MALIGNA DE OTROS SITIOS MAL DEF. AP. RESPIRAT. Y O.INTRAT,A79,Cáncer/neoplasia maligna no especificada,
165.9,N. MALIGNA DE APARATO RESPIRATORIO SITIOS MAL DEFINIDOS,R85,Otras neoplasias malignas del aparato respiratorio,
170,NEOPLASIA MALIGNA HUESO Y CARTILAGO ARTICULAR,L71,Neoplasias malignas del aparato locomotor,
170.0,"N. MALIGNA DE HUESOS CRANEO Y CARA, SALVO MANDIBULA",L71,Neoplasias malignas del aparato locomotor,
170.1,N. MALIGNA DE MANDIBULA,L71,Neoplasias malignas del aparato locomotor,
170.2,"N. MALIGNA DE COLUMNA VERTEBRAL, EXCLUYENDO SACRO Y COSIX",L71,Neoplasias malignas del aparato locomotor,
170.3,"N. MALIGNA DE COSTILLAS, ESTERNON Y CLAVICULA",L71,Neoplasias malignas del aparato locomotor,
170.4,N. MALIGNA DE ESCAPULA Y HUESOS LARGOS MIEMBROS SUPERIORES,L71,Neoplasias malignas del aparato locomotor,
170.5,N. MALIGNA DE HUESOS CORTOS MIEMBROS SUPERIORES,L71,Neoplasias malignas del aparato locomotor,
170.6,"N. MALIGNA DE HUESOS PELVICOS, SACRO Y COSIX",L71,Neoplasias malignas del aparato locomotor,
170.7,N. MALIGNA DE HUESOS LARGOS MIEMBROS INFERIORES,L71,Neoplasias malignas del aparato locomotor,
